theta_deg,model_normalized,analytic_normalized,abs_error
-90.0,0.020975570951133775,0.02097557095113377,3.469446951953614e-18
-89.75,0.020975237082932415,0.020975237082932422,6.938893903907228e-18
-89.5,0.02097423415385041,0.02097423415385041,0.0
-89.25,0.020972558190811775,0.02097255819081178,3.469446951953614e-18
-89.0,0.020970202573219476,0.02097020257321948,3.469446951953614e-18
-88.75,0.020967158034763945,0.020967158034763945,0.0
-88.5,0.02096341266598143,0.020963412665981427,3.469446951953614e-18
-88.25,0.020958951917590504,0.020958951917590504,0.0
-88.0,0.02095375860464002,0.020953758604640018,3.469446951953614e-18
-87.75,0.020947812911513344,0.020947812911513347,3.469446951953614e-18
-87.5,0.020941092397836442,0.020941092397836446,3.469446951953614e-18
-87.25,0.020933572005350072,0.02093357200535008,6.938893903907228e-18
-87.0,0.02092522406580999,0.020925224065809996,6.938893903907228e-18
-86.75,0.02091601830999034,0.02091601830999034,0.0
-86.5,0.020905921877867988,0.020905921877867974,1.3877787807814457e-17
-86.25,0.020894899330079802,0.020894899330079805,3.469446951953614e-18
-86.0,0.02088291266074606,0.02088291266074605,6.938893903907228e-18
-85.75,0.02086992131176458,0.020869921311764572,6.938893903907228e-18
-85.5,0.02085588218868548,0.020855882188685473,6.938893903907228e-18
-85.25,0.020840749678285884,0.020840749678285888,3.469446951953614e-18
-85.0,0.020824475667968502,0.0208244756679685,3.469446951953614e-18
-84.75,0.020807009567117295,0.020807009567117295,0.0
-84.5,0.02078829833054961,0.020788298330549588,2.0816681711721685e-17
-84.25,0.020768286484210946,0.020768286484210943,3.469446951953614e-18
-84.0,0.02074691615326643,0.020746916153266442,1.0408340855860843e-17
-83.75,0.020724127092747714,0.020724127092747718,3.469446951953614e-18
-83.5,0.020699856720922827,0.020699856720922827,0.0
-83.25,0.020674040155561367,0.020674040155561357,1.0408340855860843e-17
-83.0,0.02064661025327408,0.020646610253274078,3.469446951953614e-18
-82.74999999999999,0.02061749765211191,0.020617497652111915,3.469446951953614e-18
-82.5,0.020586630817614943,0.020586630817614932,1.0408340855860843e-17
-82.25,0.020553936092507673,0.02055393609250767,3.469446951953614e-18
-82.0,0.02051933775024192,0.02051933775024192,0.0
-81.75,0.020482758052593624,0.020482758052593624,0.0
-81.5,0.020444117311524332,0.020444117311524325,6.938893903907228e-18
-81.25,0.020403333955522854,0.02040333395552285,3.469446951953614e-18
-81.0,0.02036032460064581,0.02036032460064581,0.0
-80.75,0.020315004126479283,0.020315004126479286,3.469446951953614e-18
-80.5,0.020267285757247563,0.020267285757247563,0.0
-80.25,0.020217081148296692,0.020217081148296696,3.469446951953614e-18
-80.0,0.020164300478182948,0.02016430047818295,3.469446951953614e-18
-79.75,0.020108852546597968,0.020108852546597968,0.0
-79.5,0.02005064487836259,0.020050644878362587,3.469446951953614e-18
-79.25,0.019989583833722464,0.019989583833722457,6.938893903907228e-18
-79.0,0.01992557472517838,0.01992557472517838,0.0
-78.75,0.01985852194108124,0.019858521941081224,1.734723475976807e-17
-78.5,0.019788329076223292,0.019788329076223292,0.0
-78.24999999999999,0.019714899069650977,0.019714899069650967,1.0408340855860843e-17
-78.0,0.01963813434992375,0.019638134349923758,6.938893903907228e-18
-77.75,0.019557936988038538,0.019557936988038524,1.3877787807814457e-17
-77.5,0.019474208858233442,0.019474208858233446,3.469446951953614e-18
-77.25,0.019386851806878807,0.01938685180687881,3.469446951953614e-18
-77.0,0.019295767829657466,0.019295767829657473,6.938893903907228e-18
-76.75,0.019200859257225568,0.019200859257225568,0.0
-76.5,0.019102028949538146,0.019102028949538136,1.0408340855860843e-17
-76.25,0.018999180499012273,0.01899918049901227,3.469446951953614e-18
-76.0,0.018892218442688777,0.018892218442688766,1.0408340855860843e-17
-75.75,0.018781048483540962,0.018781048483540952,1.0408340855860843e-17
-75.5,0.018665577721063753,0.01866557772106374,1.3877787807814457e-17
-75.25,0.018545714891263627,0.018545714891263623,3.469446951953614e-18
-75.0,0.01842137061614772,0.01842137061614772,0.0
-74.75,0.018292457662797898,0.018292457662797888,1.0408340855860843e-17
-74.5,0.018158891212091334,0.018158891212091344,1.0408340855860843e-17
-74.25,0.018020589137109754,0.01802058913710976,6.938893903907228e-18
-74.0,0.01787747229125647,0.01787747229125647,0.0
-73.74999999999999,0.01772946480607308,0.017729464806073077,3.469446951953614e-18
-73.5,0.017576494398726984,0.01757649439872698,3.469446951953614e-18
-73.25,0.01741849268910626,0.017418492689106252,6.938893903907228e-18
-73.0,0.017255395526433435,0.017255395526433435,0.0
-72.75,0.01708714332527673,0.017087143325276735,3.469446951953614e-18
-72.5,0.01691368141080371,0.016913681410803717,6.938893903907228e-18
-72.25,0.016734960373088643,0.016734960373088647,3.469446951953614e-18
-72.0,0.016550936430245338,0.01655093643024535,1.0408340855860843e-17
-71.75,0.0163615718001234,0.016361571800123396,3.469446951953614e-18
-71.5,0.016166835080259317,0.01616683508025932,3.469446951953614e-18
-71.25,0.015966701635737747,0.01596670163573774,6.938893903907228e-18
-71.0,0.01576115399456864,0.01576115399456864,0.0
-70.75,0.015550182250145235,0.015550182250145235,0.0
-70.5,0.015333784470295674,0.015333784470295668,5.204170427930421e-18
-70.25,0.015111967112395038,0.015111967112395038,0.0
-70.0,0.014884745443952692,0.014884745443952681,1.0408340855860843e-17
-69.75,0.0146521439680344,0.014652143968034399,1.734723475976807e-18
-69.5,0.014414196852829577,0.014414196852829585,8.673617379884035e-18
-69.24999999999999,0.014170948364613323,0.014170948364613325,1.734723475976807e-18
